"","fCoID","NrDay","Date","treat","FOB","FOBr","Brood","AFB","Frames","CFU","CoID","CFU_orig","NrDay_orig","Obs"
"1","1",-1.37588855178415,2014-04-23,"LAB",5,4.5,132,0,0,-0.371542587532195,1,14,1,1
"2","2",-1.37588855178415,2014-04-23,"LABc",4,3.5,74,0,0,-0.370863833013524,2,54,1,2
"3","3",-1.37588855178415,2014-04-23,"LAB",3.5,4.5,62,1,1,-0.111647482333052,3,15330,1,3
"4","4",-1.37588855178415,2014-04-23,"LABc",5,3.5,111,0,0,-0.224711016280681,4,8667,1,4
"5","5",-1.37588855178415,2014-04-23,"LAB",6,4.5,173,0,0,-0.369625106016949,5,127,1,5
"6","6",-1.37588855178415,2014-04-23,"LABc",4.5,4,159,0,0,-0.371610462984062,6,10,1,6
"7","7",-1.37588855178415,2014-04-23,"LAB",5.5,4,143,0,0,-0.369166946716846,7,154,1,7
"8","8",-1.37588855178415,2014-04-23,"LABc",3,2.5,86,0,0,-0.349143688416051,8,1334,1,8
"9","9",-1.37588855178415,2014-04-23,"LAB",5,4,142,0,0,-0.37178015161373,9,0,1,9
"10","10",-1.37588855178415,2014-04-23,"LABc",4,2.5,45,0,0,-0.37178015161373,10,0,1,10
"11","11",-1.37588855178415,2014-04-23,"LAB",4.5,3,58,0,0,-0.371152303683959,11,37,1,11
"12","12",-1.37588855178415,2014-04-23,"LABc",5.5,4,112,0,0,-0.37178015161373,12,0,1,12
"13","13",-1.37588855178415,2014-04-23,"LAB",4.5,3.5,83,0,0,-0.370134171905953,13,97,1,13
"14","14",-1.37588855178415,2014-04-23,"LABc",5,3.5,125,0,0,-0.37030386053562,14,87,1,14
"15","15",-1.37588855178415,2014-04-23,"LAB",6,5.5,170,0,0,-0.371542587532195,15,14,1,15
"16","16",-1.37588855178415,2014-04-23,"LABc",6,5,133,0,0,-0.33925084130642,16,1917,1,16
"17","17",-1.37588855178415,2014-04-23,"LAB",7,5.5,108,0,0,-0.371542587532195,17,14,1,17
"18","18",-1.37588855178415,2014-04-23,"LABc",4,2.5,51,0,0,-0.37178015161373,18,0,1,18
"19","19",-1.37588855178415,2014-04-23,"LAB",5,4,134,0,0,-0.358035372610641,19,810,1,19
"20","20",-1.37588855178415,2014-04-23,"LABc",7,5,149,0,0,-0.370812926424624,20,57,1,20
"21","21",-1.37588855178415,2014-04-23,"Tylosin",4,2.5,88,0,0,-0.371101397095059,21,40,1,21
"22","22",-1.37588855178415,2014-04-23,"Tylosin",5,3.5,75,0,0,-0.37178015161373,22,0,1,22
"23","23",-1.37588855178415,2014-04-23,"Tylosin",5,3,67,0,0,-0.367079776571933,23,277,1,23
"24","24",-1.37588855178415,2014-04-23,"Tylosin",5,3,68,0,0,-0.370524455754189,24,74,1,24
"25","25",-1.37588855178415,2014-04-23,"Tylosin",4.5,3,78,0,0,-0.207742153313905,25,9667,1,25
"26","26",-1.37588855178415,2014-04-23,"Tylosin",6.5,4,50,0,0,-0.365331983686355,26,380,1,26
"27","27",-1.37588855178415,2014-04-23,"Tylosin",6,3,92,0,0,-0.370083265317052,27,100,1,27
"28","28",-1.37588855178415,2014-04-23,"Tylosin",6.5,4,110,0,0,-0.370083265317052,28,100,1,28
"29","29",-1.37588855178415,2014-04-23,"Tylosin",5,3.5,53,0,0,-0.0493717552449835,29,19000,1,29
"30","30",-1.37588855178415,2014-04-23,"Tylosin",7,4,128,0,0,-0.358374749869977,30,790,1,30
"31","31",-1.37588855178415,2014-04-23,"Control",3,3,99,0,0,-0.371271085724727,31,30,1,31
"32","32",-1.37588855178415,2014-04-23,"Control",5,3,130,0,0,-0.37178015161373,32,0,1,32
"33","33",-1.37588855178415,2014-04-23,"Control",4.5,3.5,95,0,0,-0.371271085724727,33,30,1,33
"34","34",-1.37588855178415,2014-04-23,"Control",4,2,73,0,0,-0.370812926424624,34,57,1,34
"35","35",-1.37588855178415,2014-04-23,"Control",5.5,4,143,0,0,-0.366451928642162,35,314,1,35
"36","36",-1.37588855178415,2014-04-23,"Control",5,4,151,0,0,-0.37178015161373,36,0,1,36
"37","37",-1.37588855178415,2014-04-23,"Control",8,4,117,0,0,-0.303904699746625,37,4000,1,37
"38","38",-1.37588855178415,2014-04-23,"Control",9,4,137,3,2,-0.111579606881185,38,15334,1,38
"39","39",-1.37588855178415,2014-04-23,"Control",8,5,119,0,0,-0.309555331114562,39,3667,1,39
"40","40",-1.37588855178415,2014-04-23,"Control",6,4,111,0,0,-0.0889601125464722,40,16667,1,40
"41","1",-0.802601655207423,2014-05-13,"LAB",11,5,147,0,0,1.57398845819759,1,114667,21,41
"42","2",-0.802601655207423,2014-05-13,"LABc",6,4,119,2,2,-0.0210846606793677,2,20667,21,42
"43","3",-0.802601655207423,2014-05-13,"LAB",4,2.5,17,0,0,0.0694102855224494,3,26000,21,43
"44","4",-0.802601655207423,2014-05-13,"LABc",7,4.5,115,3,3,-0.230361647648618,4,8334,21,44
"45","5",-0.802601655207423,2014-05-13,"LAB",11,5.5,172,0,0,-0.247330510615394,5,7334,21,45
"46","6",-0.802601655207423,2014-05-13,"LABc",8,5.5,166,0,0,-0.37178015161373,6,0,21,46
"47","7",-0.802601655207423,2014-05-13,"LAB",13,5.5,167,0,0,-0.369794794646617,7,117,21,47
"48","8",-0.802601655207423,2014-05-13,"LABc",7,3.5,112,1,1,-0.351417516053599,8,1200,21,48
"49","9",-0.802601655207423,2014-05-13,"LAB",11,5.5,140,1,1,-0.359325006196116,9,734,21,49
"50","10",-0.802601655207423,2014-05-13,"LABc",7,3,29,0,0,-0.371372898902527,10,24,21,50
